id,canonicalName,category,synonyms,volumeFactor,requiresTwoPerson,isFragile,requiresDisassembly,basePriceHint
armchair-1seat,Armchair (1-seat),sofas,"armchair, 1 seat sofa, single seater, chair",0.8,false,false,false,18
sofa-2seat,Sofa – 2-seat,sofas,"2 seater, small sofa, couch, settee",1.2,false,false,false,32
sofa-3seat,Sofa – 3-seat,sofas,"3 seater, medium sofa, regular sofa",1.6,true,false,false,48
sofa-4seat,Sofa – 4-seat,sofas,"4 seater, large sofa",2.0,true,false,false,62
sofa-corner,Corner Sofa (L-shape),sofas,"corner sofa, L shape, sectional, corner couch",2.5,true,false,true,85
recliner,Recliner Chair,sofas,"recliner, reclining chair",1.2,true,false,false,30
sofa-bed,Sofa Bed,sofas,"sofabed, pull-out sofa, bed sofa",1.8,true,false,true,55
loveseat,Loveseat,sofas,"loveseat, small settee, compact sofa",1.0,false,false,false,28
chesterfield,Chesterfield Sofa,sofas,"chesterfield, leather sofa, button sofa",1.8,true,false,false,65
footstool,Footstool/Ottoman,sofas,"footstool, ottoman, foot rest",0.4,false,false,false,15
chaise-longue,Chaise Longue,sofas,"chaise longue, day bed, chaise",1.4,true,false,false,45
bean-bag-large,Large Bean Bag,sofas,"beanbag, giant bean bag, kids chair",0.6,false,false,false,15
pouffe,Pouffe,sofas,"pouf, fabric footstool",0.3,false,false,false,10
window-seat,Window Seat Bench,sofas,"built in seat, bay window seat",1.0,false,false,false,25
hall-bench,Hallway Bench,sofas,"entryway bench, shoe bench",0.8,false,false,false,20
sofa-5seat,Sofa – 5-seat,sofas,"5 seater, extra large sofa, family sofa",2.4,true,false,false,75
tub-chair,Tub Chair,sofas,"tub chair, curved armchair",0.7,false,false,false,22
knole-sofa,Knole Sofa,sofas,"knole sofa, arms up sofa",1.7,true,false,false,60
sofa-futon,Futon Sofa,sofas,"futon, japanese sofa bed",1.5,true,false,true,40
swivel-chair,Swivel Armchair,sofas,"swivel chair, rotating chair",0.9,false,false,false,26
sleigh-bed-frame,Sleigh Bed Frame,beds,"sleigh bed, curved headboard",1.8,true,false,true,60
bed-single,Single Bed Frame,beds,"single bed, 3ft bed",1.0,false,false,true,28
bed-double,Double Bed Frame,beds,"double bed, 4ft6 bed, double",1.4,true,false,true,42
